Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-03-05,0,1,12,0,4,4,3,1,16,41
2020-03-06,0,1,15,1,5,5,4,1,23,55
2020-03-07,4,1,23,4,5,6,7,1,28,79
2020-03-08,4,1,31,7,7,8,8,1,32,99
2020-03-09,4,1,36,11,9,16,16,3,35,131
2020-03-10,4,1,40,22,12,17,32,11,43,182
2020-03-11,4,3,45,35,14,25,57,13,50,246
2020-03-12,6,3,51,58,19,33,109,16,66,361
2020-03-13,7,4,63,84,23,52,167,22,82,504
2020-03-14,10,5,82,116,30,71,206,34,101,655
2020-03-15,10,6,111,159,39,111,254,48,122,860
2020-03-16,10,18,152,202,58,139,254,55,128,1016
2020-03-17,11,27,216,248,66,171,328,99,166,1332
2020-03-18,20,41,256,305,89,220,382,124,209,1646
2020-03-19,29,50,305,371,127,282,464,151,234,2013
2020-03-20,33,71,355,421,167,340,508,197,296,2388
2020-03-21,54,83,394,548,185,388,575,228,359,2814
2020-03-22,63,105,446,628,269,423,644,263,403,3244
2020-03-23,71,122,564,707,372,486,803,323,476,3924
2020-03-24,84,141,620,795,429,558,1253,379,617,4876
2020-03-25,89,161,750,915,516,627,1393,407,702,5560
2020-03-26,115,183,873,1054,591,699,1623,435,825,6398
2020-03-27,138,202,1140,1217,687,759,1752,501,1003,7399
2020-03-28,142,221,1262,1332,751,828,1846,549,1046,7995
2020-03-29,159,239,1350,1451,798,915,1944,579,1101,8536
2020-03-30,179,261,1533,1535,855,958,2205,616,1235,9377
2020-03-31,182,273,1616,1596,911,1049,2323,646,1378,9974
2020-04-01,188,293,1685,1671,955,1113,2414,666,1497,10482
2020-04-02,201,300,1738,1781,994,1158,2531,681,1583,10967
2020-04-03,206,304,1828,1836,1038,1205,2595,710,1661,11383
2020-04-04,224,310,1860,1890,1059,1263,2658,722,1679,11665
2020-04-05,226,319,1903,1932,1069,1311,2704,742,1701,11907
2020-04-06,228,328,1994,1963,1083,1339,2774,754,1743,12206
2020-04-07,234,341,2071,1991,1094,1372,2835,768,1813,12519
2020-04-08,242,353,2122,2037,1119,1423,2903,793,1860,12852
2020-04-09,245,365,2169,2079,1134,1458,2996,800,1892,13138
2020-04-10,253,373,2206,2100,1152,1484,3163,809,1952,13492
2020-04-11,259,382,2274,2115,1154,1515,3257,825,1995,13776
2020-04-12,260,384,2325,2120,1159,1538,3278,830,2000,13894
2020-04-13,268,386,2343,2127,1169,1560,3299,832,2015,13999
2020-04-14,271,386,2387,2140,1174,1588,3328,832,2053,14159
2020-04-15,278,388,2415,2162,1178,1600,3352,847,2101,14321
2020-04-16,286,389,2436,2174,1186,1617,3392,852,2119,14451
2020-04-17,289,394,2461,2183,1190,1631,3406,854,2145,14553
2020-04-18,298,394,2469,2199,1191,1646,3415,855,2170,14637
2020-04-19,302,394,2476,2200,1199,1652,3417,858,2198,14696
2020-04-20,307,394,2495,2205,1201,1663,3427,859,2204,14755
2020-04-21,310,402,2500,2211,1206,1665,3433,863,2220,14810
2020-04-22,311,402,2519,2218,1205,1679,3440,868,2247,14889
2020-04-23,314,402,2531,2222,1206,1693,3445,869,2281,14963
2020-04-24,315,402,2546,2232,1207,1700,3457,868,2311,15038
2020-04-25,316,404,2553,2239,1210,1722,3469,868,2336,15117
2020-04-26,317,404,2562,2243,1212,1733,3479,868,2357,15175
2020-04-27,320,407,2573,2248,1214,1745,3484,868,2380,15239
2020-04-28,321,410,2577,2251,1214,1751,3494,869,2399,15286
2020-04-29,322,410,2591,2252,1215,1757,3496,870,2439,15352
2020-04-30,325,410,2619,2254,1217,1761,3502,871,2465,15424
2020-05-01,326,410,2625,2255,1217,1764,3504,872,2497,15470
2020-05-02,327,410,2630,2256,1218,1765,3504,872,2526,15508
2020-05-03,327,410,2633,2257,1219,1766,3504,873,2538,15527
2020-05-04,328,410,2638,2258,1219,1774,3509,874,2541,15551
2020-05-05,329,411,2650,2258,1214,1777,3509,874,2557,15579
2020-05-06,330,411,2661,2259,1214,1784,3512,875,2587,15633
